surface_name	site_name	species_name	type	fugacity	raw_energy	frequencies	num_carbonyl	correction_energy	corrected_energy	formation_energy
	gas	CH4	gas	20467.0	-231.576327	[54.65811394834241, 71.6372154480809, 85.06283160737877, 1327.3054904290536, 1328.4584700514204, 1330.725557378928, 1546.1307637645953, 1546.4533780416284, 2979.8141033611164, 3111.764502893397, 3113.058224727733, 3116.85996923169]	0	0.0	-231.576327	-2.502529685359832
	gas	C2H4	gas	13942.0	-394.990434	[49.41703231529869, 70.78991483142337, 820.0492350455348, 956.4753233034468, 958.5448673384166, 1050.9066621859229, 1226.315241624117, 1317.362892392438, 1464.0581175413233, 1671.0913540164495, 3104.9526507638507, 3122.0929821438303, 3180.899436849776, 3205.8969152536274]	0	0.0	-394.990434	-2.547346628039861
	gas	H2	gas	30296.0	-32.9422536286601	[6.609732955609958, 7.412936415532567, 4446.039345148636]	0	0.09	-32.852253628660094	0.0
	gas	H2_ref	gas	101325.0	-32.9422536286601	[6.609732955609958, 7.412936415532567, 4446.039345148636]	0	0.09	-32.852253628660094	0.0
	gas	H2O	liquid	3534.0	-496.2702666	[22.43683850004124, 27.718975767750454, 75.56705373169147, 1614.4317958176293, 3736.912140852198, 3847.907685997248]	0	0.0	-496.2702666	0.0
	gas	CO	gas	5562.0	-626.485044	[32.93438874898954, 48.6634935472618, 2150.493326661877]	0	0.0	-626.485044	0.3022590286598188
	gas	CH3OH	liquid	6079.0	-693.715592	[60.169396972556065, 90.96244559810665, 299.53192668342996, 969.8747486422566, 1066.1108726328735, 1151.1086828165053, 1355.1437359492088, 1453.6632338649886, 1479.971783766138, 1492.383086779594, 2926.3024941171907, 3014.9784547818863, 3093.6944973008594, 3758.187291134765]	0	0.0	-693.715592	-1.2237817140198786
	gas	CO2	gas	101325.0	-1090.605316	[187.1011979905889, 187.62471159405902, 649.6814921172621, 651.2520437675124, 1339.3367542566375, 2365.1350704049096]	2	0.4	-1090.2053159999998	0.0
	gas	HCOOH	liquid	2.0	-1123.399942	[43.72567741299433, 64.68486112690252, 104.909261444243, 632.6407482270284, 675.3854520913451, 1019.7383982191781, 1089.3353610708702, 1279.444640412234, 1378.1782681275033, 1773.144654523929, 3018.413119536722, 3650.593736371482]	1	0.2	-1123.199942	-0.14237237134011593
	gas	CH3CH2OH	liquid		-891.806534632297	[19.16223855880492, 39.39699773045001, 80.7493441041679, 230.40176702577756, 276.82821036280734, 415.83593586496437, 815.8182454077607, 886.0925473590241, 1015.5584769712523, 1071.0023502728936, 1159.6328627514945, 1248.6221158915955, 1278.0392710599447, 1386.2287037596614, 1421.8553251865635, 1468.4137886347255, 1486.1781170659622, 1511.6299505023646, 2961.104278295827, 2977.0891530048984, 3011.5212258762035, 3084.6254646207585, 3088.7119866348044, 3764.5850641704506]	0	0.0	-891.806534632297	-3.093180660336884
	gas	HCOOCH3	gas		-1320.99552950371	[26.146180965411986, 105.54794541251422, 138.3505710443771, 170.8311958421624, 337.82563061845224, 346.83541284345154, 754.0597457997819, 884.0821241360948, 1001.3319064342463, 1140.076576890216, 1153.5433735553636, 1194.710341315031, 1374.9438316966853, 1450.1933434343036, 1469.3854895771042, 1483.0850254900965, 1748.6950820315562, 3006.350103636767, 3035.458359208873, 3107.6704614791042, 3144.2583733677416]	1	0.2	-1320.79552950371	-1.5164161890700143
	gas	C3H8	gas		-627.430608824963	[22.377130498493248, 46.74568802571033, 55.886179504066575, 233.42695596717985, 282.1026294541341, 371.579199100026, 750.136190308859, 852.6825115624837, 908.6768051055486, 925.0140971042673, 1041.932610344778, 1164.7649427100168, 1201.4077877004033, 1301.3044588085736, 1350.4817494309682, 1384.546612009659, 1411.2806043977243, 1475.9059648376679, 1478.0169970281154, 1483.3844099218168, 1494.1872551898327, 1499.062726694757, 2960.038095940023, 2994.9032536807013, 3008.1266960489875, 3012.164925206296, 3052.7949445902245, 3063.7677407427827, 3070.209385305845, 3073.230054020187]	0	0.0	-627.430608824963	-5.9137241383626815
	gas	CH3COOH	gas		-1321.668557	[51.21556788453379, 81.159711981158, 96.34484620010751, 434.1310673210029, 536.3319511762229, 588.4740621186336, 658.2430284345314, 842.8390604328073, 973.679287694758, 1047.4581907190409, 1168.2474833875733, 1314.3375625299047, 1388.6827038795884, 1457.6983813381378, 1462.2534418358036, 1762.363998401685, 3054.8109925140066, 3094.3364203496876, 3150.3104819856117, 3673.6553926601528]	1	0.2	-1321.468557	-2.1894436853599473
	gas	butadiene	gas		-756.916640243711	[23.276370034648394, 49.21703881777091, 181.96563953346563, 295.0997629904559, 525.2266650597717, 526.2244980069634, 765.5456794313972, 881.3045618172856, 912.7329620093373, 914.4070587487228, 980.3550795348016, 992.5391009317676, 1040.1439116573426, 1216.4821694184561, 1295.1108911730096, 1311.6745791190945, 1397.0712677302251, 1461.1030635680106, 1620.2936487736363, 1661.2194271067872, 3083.0935231330586, 3107.9127236986633, 3123.5304183486533, 3130.161456971144, 3206.0734385180544, 3208.205217134158]	0	0.0	-756.916640243711	
	gas	CH2O	gas	101325.0	-659.751771569614	[65.69823780361472, 114.0103452733583, 1174.5132741055477, 1237.6334135920201, 1512.017811864697, 1764.1239069959872, 2866.779258138019, 2896.710146902481]	1	0.2	-659.551771569614	0.08778508770603821
	gas	C2H6	gas		-429.463483051318	[14.02741592824648, 46.12211049200124, 278.28472014881703, 814.1428343728661, 821.2647726312929, 975.7250968481486, 1207.9799064241513, 1210.6634076070739, 1396.9315714843456, 1405.3763407101521, 1486.4379540679747, 1486.959826467517, 1491.4110115215028, 1491.7810418136148, 2988.944795737229, 3016.0234097857488, 3052.565897101815, 3053.319103305461, 3077.318961713155, 3079.376950422087]	0	0.0	-429.463483051318	-4.1681420506977815
	gas	OCHCHO	gas		-1286.431189	[20.248286898777884, 39.64182239732646, 104.32303773200842, 313.92444824243705, 533.5028244900765, 785.1537582261602, 1031.5021629220337, 1047.4755858043727, 1314.637984023873, 1355.6832499664374, 1738.777658699079, 1740.4118365102586, 2908.8355543069324, 2913.4216277593823]	2	0.4	-1286.0311889999998	0.3956706859798942
	gas	CH3CH2COOH	gas		-1519.633466	[14.101643019772101, 41.63651767596271, 78.85805307897006, 133.1891657259806, 218.01414878842107, 255.44158529700408, 462.5059488534383, 516.4701397619091, 596.5889908676875, 652.2152719018851, 786.1127598525894, 803.2883633953458, 989.3875095723237, 1059.3648214244254, 1092.9928096827584, 1129.0913054586792, 1266.0542826370859, 1278.3463060968268, 1370.8703358687305, 1409.8851292319046, 1445.5690795866167, 1482.4778942085575, 1489.996751871741, 1754.9386097582171, 3003.9662082291948, 3035.755244205692, 3041.6404380248036, 3091.5850766448543, 3098.2186991662907, 3663.8126587677957]	1	0.2	-1519.433466	-3.932808999380086
	gas	CH3COOCH3	gas				1	0.2		
	gas	CH3OCH3	gas				0	0.0		
	gas	CH3CHO	liquid				1	0.2		
